sid_pid,rating
0_0,2
0_11,3
0_13,5
0_14,5
0_18,4
0_21,3
0_50,1
0_54,3
0_59,5
0_63,5
0_65,3
0_67,5
0_88,5
0_90,5
0_95,2
0_96,5
0_100,5
0_103,3
0_104,5
0_105,5
0_113,5
0_118,3
0_124,4
0_133,5
0_140,1
0_141,4
0_146,5
0_148,2
0_152,3
0_155,5
0_160,3
0_168,3
0_170,5
0_171,5
0_175,5
0_181,5
0_196,5
0_197,5
0_209,3
0_212,5
0_214,2
0_225,1
0_231,2
0_234,5
0_240,5
0_247,5
0_249,5
0_258,5
0_267,3
0_284,4
0_286,4
0_304,5
0_315,5
0_335,5
0_337,5
0_371,5
0_372,5
0_373,4
0_403,2
0_405,3
0_406,5
0_412,3
0_413,5
0_414,2
0_421,2
0_427,3
0_434,5
0_436,5
0_438,3
0_439,4
0_465,4
0_469,4
0_471,2
0_486,2
0_495,5
0_523,5
0_533,5
0_538,4
0_545,3
0_552,3
0_578,5
0_596,3
0_634,1
0_638,5
0_656,4
0_667,5
0_668,5
0_672,5
0_677,5
0_682,5
0_697,5
0_721,1
0_722,5
0_751,3
0_761,5
0_790,4
0_792,4
0_795,5
0_811,4
0_813,5
0_814,3
0_834,4
0_835,3
0_843,2
0_844,4
0_859,5
0_861,3
0_876,4
0_879,3
0_880,2
0_889,3
0_901,3
0_910,5
0_912,5
0_926,5
0_937,3
0_967,5
0_970,5
0_994,3
1_1,5
1_7,4
1_8,4
1_13,5
1_14,4
1_16,4
1_27,5
1_31,2
1_38,5
1_59,5
1_63,4
1_64,5
1_65,5
1_79,5
1_84,4
1_87,3
1_89,5
1_92,5
1_94,5
1_95,4
1_102,3
1_105,5
1_106,5
1_115,5
1_120,3
1_121,5
1_131,4
1_133,4
1_135,5
1_138,5
1_140,5
1_146,5
1_147,4
1_150,4
1_151,5
1_152,3
1_153,4
1_157,3
1_166,5
1_176,3
1_177,4
1_195,2
1_201,5
1_204,5
1_208,4
1_215,4
1_219,5
1_222,4
1_223,2
1_227,4
1_228,5
1_233,4
1_235,5
1_239,5
1_240,3
1_243,4
1_248,5
1_251,3
1_255,4
1_265,5
1_266,3
1_268,5
1_269,5
1_276,5
1_280,5
1_282,3
1_284,5
1_289,5
1_291,4
1_293,5
1_295,4
1_300,4
1_301,5
1_302,4
1_303,5
1_310,5
1_314,4
1_316,5
1_320,5
1_321,3
1_324,5
1_325,4
1_331,4
1_337,5
1_339,4
1_341,5
1_342,4
1_354,5
1_355,5
1_356,5
1_357,4
1_358,5
1_362,4
1_370,3
1_381,5
1_400,5
1_403,5
1_404,5
1_407,5
1_411,4
1_412,4
1_415,4
1_418,4
1_426,5
1_434,5
1_437,4
1_444,5
1_445,5
1_446,2
1_449,5
1_450,4
1_452,4
1_471,4
1_473,3
1_495,4
1_496,5
1_504,5
1_510,5
1_513,5
1_514,4
1_518,4
1_520,5
1_522,4
1_523,4
1_529,5
1_530,4
1_534,4
1_536,3
1_538,4
1_545,2
1_548,3
1_552,4
1_557,3
1_565,5
1_596,4
1_599,4
1_603,5
1_605,4
1_607,2
1_615,4
1_617,4
1_620,5
1_622,3
1_623,4
1_633,5
1_635,5
1_644,4
1_652,5
1_656,3
1_670,4
1_677,5
1_680,4
1_681,4
1_689,4
1_692,1
1_700,4
1_709,4
1_713,5
1_714,5
1_722,3
1_725,5
1_737,4
1_745,5
1_746,5
1_748,4
1_749,4
1_762,3
1_768,4
1_772,3
1_783,5
1_790,4
1_797,5
1_802,4
